cik,company_name,form_type,filing_date,accession_number,primary_document,filing_url,reporting_period
0001849635,Trump Media & Technology Group Corp.,10-Q,2026-08-10,0001437749-26-026777,djt20260630_10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000143774926026777/djt20260630_10q.htm,2026-06-30
0001849635,Trump Media & Technology Group Corp.,10-Q,2026-05-08,0001140361-26-020229,ef20070602_10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000114036126020229/ef20070602_10q.htm,2026-03-31
0001849635,Trump Media & Technology Group Corp.,10-K,2026-02-27,0001140361-26-007174,ef20062365_10k.htm,https://www.sec.gov/Archives/edgar/data/1849635/000114036126007174/ef20062365_10k.htm,2025-12-31
0001849635,Trump Media & Technology Group Corp.,10-Q,2025-11-07,0001140361-25-040977,ef20054981_10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000114036125040977/ef20054981_10q.htm,2025-09-30
0001849635,Trump Media & Technology Group Corp.,10-Q,2025-08-01,0001140361-25-028418,ef20050409_10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000114036125028418/ef20050409_10q.htm,2025-06-30
0001849635,Trump Media & Technology Group Corp.,10-Q,2025-05-09,0001140361-25-018209,ef20047598_10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000114036125018209/ef20047598_10q.htm,2025-03-31
0001849635,Trump Media & Technology Group Corp.,10-K,2025-02-14,0001140361-25-004822,ef20039039_10k.htm,https://www.sec.gov/Archives/edgar/data/1849635/000114036125004822/ef20039039_10k.htm,2024-12-31
0001849635,Trump Media & Technology Group Corp.,10-Q,2024-11-05,0001140361-24-045260,ef20034529_10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000114036124045260/ef20034529_10q.htm,2024-09-30
0001849635,Trump Media & Technology Group Corp.,10-Q,2024-08-09,0001140361-24-036633,ef20030085_10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000114036124036633/ef20030085_10q.htm,2024-06-30
0001849635,Trump Media & Technology Group Corp.,10-Q,2024-05-20,0001140361-24-026889,ef20028790_10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000114036124026889/ef20028790_10q.htm,2024-03-31
0001849635,Trump Media & Technology Group Corp.,10-K,2024-04-01,0001140361-24-017011,ef20025355_10k.htm,https://www.sec.gov/Archives/edgar/data/1849635/000114036124017011/ef20025355_10k.htm,2023-12-31
0001849635,Trump Media & Technology Group Corp.,10-Q,2023-11-22,0001193125-23-282305,d628760d10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000119312523282305/d628760d10q.htm,2023-09-30
0001849635,Trump Media & Technology Group Corp.,10-Q,2023-11-13,0001193125-23-275473,d519123d10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000119312523275473/d519123d10q.htm,2023-06-30
0001849635,Trump Media & Technology Group Corp.,10-Q,2023-11-13,0001193125-23-275201,d164614d10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000119312523275201/d164614d10q.htm,2023-03-31
0001849635,Trump Media & Technology Group Corp.,10-K,2023-04-26,0001193125-23-116102,d474123d10k.htm,https://www.sec.gov/Archives/edgar/data/1849635/000119312523116102/d474123d10k.htm,2022-12-31
0001849635,Trump Media & Technology Group Corp.,10-Q,2022-11-21,0001193125-22-290078,d411170d10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000119312522290078/d411170d10q.htm,2022-09-30
0001849635,Trump Media & Technology Group Corp.,10-Q,2022-08-23,0001193125-22-226608,d236137d10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000119312522226608/d236137d10q.htm,2022-06-30
0001849635,Trump Media & Technology Group Corp.,10-Q,2022-05-19,0001193125-22-154248,d310371d10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000119312522154248/d310371d10q.htm,2022-03-31
0001849635,Trump Media & Technology Group Corp.,10-K,2022-04-13,0001193125-22-103731,d244075d10k.htm,https://www.sec.gov/Archives/edgar/data/1849635/000119312522103731/d244075d10k.htm,2021-12-31
0001849635,Trump Media & Technology Group Corp.,10-Q,2021-11-22,0001410578-21-000402,dwacu-20210930x10q.htm,https://www.sec.gov/Archives/edgar/data/1849635/000141057821000402/dwacu-20210930x10q.htm,2021-09-30
